id,_URI,instanceID,_PARENT_AURI,fh_1345_rr_c,fh_1345_rr_nc,fh_1345_rr_n,fh_13_45,fh_13_46,fh_13_47,fh_13_47_1n,rta_form_id
70,uuid:85ef998d-ae00-4dd8-97c5-df76cc737cc5,uuid:28552337-de6c-446a-a2d8-d38691703d1a,uuid:28552337-de6c-446a-a2d8-d38691703d1a,1,st,"",2,1,2.8000000000,2,ML_FH_Household_Full_G1
71,uuid:89038b9a-6cf6-4542-8f1b-dd2bd619a4da,uuid:5b2d4dc4-b5a1-4651-a538-be4cefb82ced,uuid:5b2d4dc4-b5a1-4651-a538-be4cefb82ced,1,st,"",2,1,2.7000000000,2,ML_FH_Household_Full_G1
72,uuid:8a6029e3-b25f-4694-b0a7-7443f158e62f,uuid:ccab75b4-f699-4896-92ad-99af5b355167,uuid:ccab75b4-f699-4896-92ad-99af5b355167,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
73,uuid:8e73698e-5d40-43de-9548-9e39db8a5901,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1~0,uuid:e8ec7ec5-18ae-44f0-8e11-9c8a907f1af1~0,1,st,"",1,0,"","",ML_FH_Household_Full_G1
74,uuid:90ac859b-f028-401b-9acc-ea190a91c215,uuid:d7da5983-8e9a-41cc-a63d-f440f56e1492,uuid:d7da5983-8e9a-41cc-a63d-f440f56e1492,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
75,uuid:934873ab-c197-43be-8959-70e2fe0b06e7,uuid:2239b66d-8333-42fa-9bce-60799db514b3,uuid:2239b66d-8333-42fa-9bce-60799db514b3,1,st,"",1,0,"","",ML_FH_Household_Full_G1
76,uuid:93915201-dede-4fda-a6ac-23820b0684a3,uuid:52377b8e-5074-4113-81ae-0c9460be9d2d,uuid:52377b8e-5074-4113-81ae-0c9460be9d2d,1,st,"",2,1,3.0000000000,2,ML_FH_Household_Full_G1
77,uuid:94667bf6-c565-4351-9f6b-929687523021,uuid:e50a34c3-ff65-42c2-82b3-566aa963e182,uuid:e50a34c3-ff65-42c2-82b3-566aa963e182,1,st,"",1,1,2.9000000000,2,ML_FH_Household_Full_G1
78,uuid:97594d89-c12b-4974-be94-1ce9bc6d6940,uuid:f497203c-7264-4a40-bc53-de8d552f4199,uuid:f497203c-7264-4a40-bc53-de8d552f4199,1,st,"",1,1,2.6000000000,2,ML_FH_Household_Full_G1
79,uuid:980920dd-e5b9-46fb-a10f-75892e14a61d,uuid:01cb57a5-bb53-4e1f-bf00-5e5be884abfe,uuid:01cb57a5-bb53-4e1f-bf00-5e5be884abfe,1,st,"",2,1,9998.0000000000,1,ML_FH_Household_Full_G1
80,uuid:9911b08d-fd91-4bca-b364-f83ced928e58,uuid:0749f097-ddff-42bd-a69c-4b7409c60724,uuid:0749f097-ddff-42bd-a69c-4b7409c60724,1,st,"",1,1,9998.0000000000,1,ML_FH_Household_Full_G1
81,uuid:9b43b6c8-22ba-42a3-a0f8-9c94177ed962,uuid:98c12857-17df-43f4-bee2-9ea2f26cf7ee,uuid:98c12857-17df-43f4-bee2-9ea2f26cf7ee,1,st,"",2,1,3.1000000000,2,ML_FH_Household_Full_G1
82,uuid:9be7f026-cd64-4106-a232-6efe3591b438,uuid:8612122f-7698-4db3-9636-d6efc27d4069,uuid:8612122f-7698-4db3-9636-d6efc27d4069,1,st,"",1,1,3.0000000000,2,ML_FH_Household_Full_G1
83,uuid:9d3d486c-1e5e-4ee4-887f-4ca2fb6ea0ae,uuid:1878b4d9-0dae-49d1-954a-36c692810a84,uuid:1878b4d9-0dae-49d1-954a-36c692810a84,1,st,"",1,1,3.2000000000,2,ML_FH_Household_Full_G1
84,uuid:9e00b8ba-e3fd-4f15-84dc-0d21f14ff96f,uuid:432c7d32-d2f1-4c3b-a7e2-7d7fcb15577a,uuid:432c7d32-d2f1-4c3b-a7e2-7d7fcb15577a,1,st,"",2,1,2.8000000000,2,ML_FH_Household_Full_G1
85,uuid:9ea2929a-29d0-402b-a14d-4f838af3f942,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6,uuid:a452421e-af27-4cc7-a093-600b34fd0ad6,1,st,"",1,0,"","",ML_FH_Household_Full_G1
86,uuid:a2844601-8118-417e-9a60-868ebf564dad,uuid:46655d0c-05e5-4939-a995-ea478fc1eed3,uuid:46655d0c-05e5-4939-a995-ea478fc1eed3,1,st,"",2,0,"","",ML_FH_Household_Full_G1
87,uuid:a585c1c7-30da-4807-910d-870ee6ae4964,uuid:d1139819-85b6-4d45-bf41-3b8b91f4a7fe,uuid:d1139819-85b6-4d45-bf41-3b8b91f4a7fe,1,st,"",2,0,"","",ML_FH_Household_Full_G1
88,uuid:a6beebe0-f225-4d95-8600-91c6665e548c,uuid:d2a44d4d-6cbe-4486-94a9-d476dfc4fa8f,uuid:d2a44d4d-6cbe-4486-94a9-d476dfc4fa8f,1,st,"",2,0,"","",ML_FH_Household_Full_G1
89,uuid:a8254134-cdc0-4b62-9f99-16a30836f4f7,uuid:9bd5d586-268e-4dde-ad4c-c380852689a0,uuid:9bd5d586-268e-4dde-ad4c-c380852689a0,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
90,uuid:a926a09c-3470-4595-9f8a-d2b95e34bec5,uuid:c341cd25-67cb-468e-b10e-4f6017a60679,uuid:c341cd25-67cb-468e-b10e-4f6017a60679,1,st,"",1,0,"","",ML_FH_Household_Full_G1
91,uuid:ab624b00-7cb4-448b-8e64-1d50bedd1c74,uuid:fdca57bc-48c6-4096-bed8-7e6a98947897,uuid:fdca57bc-48c6-4096-bed8-7e6a98947897,1,st,"",1,1,3.5000000000,2,ML_FH_Household_Full_G1
